Longitud,Latitud
-73.81435441650166,7.068231300806609
-73.81312584807023,7.068924569237272
-73.81130268662682,7.067739009063039
-73.81243945654052,7.065280180472104
-73.80860164438766,7.062447766820803
-73.80358148102803,7.058740934747951
-73.80106353622895,7.056881264626096
-73.7975764763955,7.05421512279115
-73.7961730434332,7.05314276744319
-73.7951350722843,7.051187882510179
-73.79338795080707,7.047915800773259
-73.79051925869742,7.042546361614082
-73.78969546984041,7.040998523891728
-73.78846678414043,7.038288473644117
-73.78707827608893,7.035214408175898
-73.78500285366057,7.030642274910228
-73.7832404171606,7.026737184408063
-73.7822641667069,7.024818498940757
-73.78031847853282,7.021007095997462
-73.77931118933131,7.019032983570614
-73.77702259329897,7.014545462344919
-73.77556508901296,7.011684943962675
-73.77353588518973,7.007688096197962
-73.7726122416452,7.005890348027233
-73.77159768228289,7.002989406467304
-73.76999538643693,6.998433334979142
-73.76869861555971,6.995548018076261
-73.76756167793003,6.993024491919861
-73.76652417049623,6.990724814807003
-73.76505912898224,6.987476558684005
-73.76449435092313,6.986222706336935
-73.76314396123382,6.983229972688836
-73.76257975030072,6.981968188623404
-73.76153435916666,6.979659499321591
-73.7592454633761,6.97536852263402
-73.75791799160903,6.972887824700189
-73.75546079088126,6.968284797179245
-73.75423276630053,6.965987226427233
-73.75192873487545,6.96168043783084
-73.75184453391776,6.959077351236522
-73.7517071765434,6.954874857995681
-73.75156206446465,6.950410179525353
-73.75145519670046,6.947084819620595
-73.7513412148511,6.943433934326473
-73.75126470871177,6.94118351609355
-73.75115007058814,6.937685217104099
-73.75112756479619,6.935058434704784
-73.75111239188846,6.93325449983706
-73.75105849690196,6.927757917785788
-73.75118832763997,6.924794415781195
-73.75162344292771,6.92204360594376
-73.75211928773552,6.918880284742497
-73.75262254023397,6.91571022184875
-73.75330923616403,6.911351183053389
-73.75373690745107,6.908661434832397
-73.75421001664306,6.905633717538757
-73.75483532655109,6.901684959741372
-73.75543053015602,6.897897773653718
-73.75583489630924,6.895324415104707
-73.75607116542024,6.893823534062697
-73.75675832582317,6.889500661787316
-73.75741429127768,6.885302133430056
-73.75790269839932,6.882211130910636
-73.75835247197222,6.87935293950956
-73.75881015304618,6.876458610466965
-73.75926844001499,6.873555211405473
-73.75969547852793,6.87085752910237
-73.76043541486187,6.866131159449158
-73.76118326521905,6.86139689838754
-73.76137405560556,6.860191030205871
-73.76305248822105,6.854765633350177
-73.76422772446777,6.850973169200616
-73.76648604245975,6.846722516194399
-73.7680044081027,6.843861597533385
-73.76962920471149,6.840784883762909
-73.77081974290576,6.838547670523765
-73.77261997913253,6.835152324637157
-73.77460352892487,6.832423927163087
-73.77664083907852,6.829623233572204
-73.77845681869724,6.827121900628912
-73.78009739937661,6.824870235980258
-73.78178321161454,6.822551932808825
-73.78295061825658,6.820943118045615
-73.78502572560701,6.818083622628723
-73.78728415488047,6.814982336465367
-73.7895199390965,6.811910430218591
-73.79183942863794,6.808715341987841
-73.79363204144468,6.806250116719559
-73.79550899732602,6.803668495108552
-73.79786686067335,6.800429314714402
-73.80091105621005,6.796238845609688
-73.80296333053639,6.79341539978235
-73.80452725488726,6.791265340501136
-73.80654158622255,6.788501779417322
-73.80889136283174,6.785269350882763
-73.81137129778033,6.781853837296805
-73.8144690199352,6.777589812977931
-73.81548366050443,6.776880501768323
-73.82024409680528,6.773557752420776
-73.82167116084806,6.772319713783568
-73.82502070547365,6.76941773272743
-73.82795791643358,6.766871548931706
-73.83106308276707,6.764183023092869
-73.83502283268092,6.760747786649484
-73.83690736639473,6.759118854564545
-73.84097392210289,6.755595464860189
-73.84283580564087,6.753978903245219
-73.84561275362158,6.7515681992914
-73.84789425295202,6.749595764084515
-73.85170898387084,6.746285758419877
-73.85405921126835,6.743490504140635
-73.85529513462266,6.742023942827604
-73.8582092419225,6.738564280964972
-73.86135294903036,6.734828917887121
-73.86403848607041,6.73163249398264
-73.86723528798761,6.72783382471382
