clusters_final,storm_duration,discharges_per_minute,magnitude_mean,magnitude_max,area,discharges_per_sqkm,distance_centroid,distance_polygon,distance_max,distance_min,line,label
985.0,26.812383333333287,0.3356657962148093,25.77777777777778,62.0,53.71259501,0.16755846553912385,14.147483,10.59113288,17.18829091,10.59113288,2,0.0
986.0,5.092399999999998,1.3745974393213423,18.428571428571427,24.0,32.28929898,0.2167900890117126,2.077138782,0.0,6.184783932,0.08923971481,2,0.0
987.0,9.676499999999919,0.5167157546633641,14.8,23.0,74.41278052,0.06719275862371712,1.7972289059999997,0.0,7.528175623,0.8992783332999998,2,0.0
988.0,17.25833333333344,0.289715113471751,26.0,32.0,95.65861131999999,0.05226920954637166,4.817162953,0.0,12.044014720000002,0.5630768684999999,2,1.0
989.0,8.164116666666644,0.734923353618581,32.166666666666664,88.0,9.212686071,0.6512758552456269,7.714552267,5.070894386,9.860749516,5.070894386,2,0.0
990.0,17.979166666666686,1.0011587485515632,38.44444444444444,79.0,100.1879543,0.1796623169498132,17.082181090000002,9.949608895999999,27.693734010000004,9.950845953,2,1.0
991.0,8.569500000000005,0.8168504580197207,33.142857142857146,48.0,10.40401554,0.6728171419090364,9.096681574,1.9006823149999998,12.7953598,1.9006823149999998,2,0.0
992.0,43.43871666666678,1.4733400273105022,21.625,129.0,148.015023,0.4323885420738677,23.699010740000002,18.664145700000002,29.96044875,19.25208152,2,0.0
993.0,24.262833333333447,1.6486120747095963,28.5,121.0,216.62267219999998,0.18465287863806532,14.00257009,4.729808019,23.11680953,4.729808019,2,0.0
994.0,27.022616666666657,0.9251509692189941,14.28,34.0,191.3324965,0.13066259238403866,24.33145145,18.164587209999997,29.786115249999998,18.164587209999997,2,0.0
995.0,34.08361666666666,0.4987733598302607,20.941176470588236,52.0,287.9312237,0.05904187736760555,11.60369688,1.428502837,22.102310799999998,1.428502837,2,1.0
996.0,24.262833333333447,1.6486120747095963,28.5,121.0,216.62267219999998,0.18465287863806532,14.00257009,4.729808019,23.11680953,4.729808019,2,0.0
997.0,27.022616666666693,0.9251509692189929,14.28,34.0,191.3324965,0.13066259238403866,24.33145145,18.164587209999997,29.786115249999998,18.164587209999997,2,0.0
998.0,34.08361666666664,0.49877335983026094,20.941176470588236,52.0,287.9312237,0.05904187736760555,11.60369688,1.428502837,22.102310799999998,1.428502837,2,0.0
999.0,6.988500000000002,0.7154611146884164,28.0,66.0,53.63541681,0.09322198460230442,6.7993971040000005,0.6823380832,11.680974979999998,0.6823380832,2,0.0
1000.0,28.54339999999999,0.9108935866084632,49.34615384615385,82.0,220.4187798,0.11795728124251234,19.26695022,11.08184552,28.62991248,11.08184552,2,1.0
1001.0,16.775166666666564,1.7287458644226195,31.448275862068964,127.0,206.9284984,0.14014502702253215,20.65745046,14.38394016,29.880722119999998,15.04809769,2,0.0
1002.0,14.599766666666937,0.47945971739273485,52.285714285714285,105.0,99.78399137000001,0.0701515333661482,6.874068318000001,1.4532235759999999,12.116424720000001,1.4532235759999999,2,0.0
1003.0,46.042900000000145,1.390008014264953,27.375,129.0,702.1850516000001,0.09114406502127821,14.689715399999999,0.7656184271,28.05901133,0.7656184271,2,0.0
1004.0,7.38771666666662,0.6767991012107979,37.6,77.0,33.69491259,0.14839035378545257,8.146779339,2.068691575,12.68390288,2.068691575,2,0.0
1005.0,34.22228333333305,0.8766218112272923,49.233333333333334,80.0,138.042884,0.21732377019883187,2.045312335,0.0,9.725150211,0.08077783149,2,0.0
1006.0,41.85926666666637,2.7234113035903036,31.464912280701753,93.0,447.53630910000004,0.2547279353249687,19.52162829,8.733616524999999,29.704291889999997,8.733616524999999,2,0.0
1007.0,50.343950000000405,0.675354238195448,25.029411764705884,74.0,425.46662410000005,0.07991226120714176,14.18883756,5.661838714000001,25.326348990000003,6.851423329000001,2,0.0
1008.0,4.8416166666663685,1.0327129023708281,22.0,29.0,1.935827833,2.582874321138041,18.72115773,17.873306080000003,19.612473019999996,17.873306080000003,2,0.0
1009.0,91.2201666666665,5.294881796971074,37.29606625258799,132.0,1606.068258,0.30073441623301167,6.838361147,0.0,29.802587319999997,0.9349137198999999,2,0.0
1010.0,29.29916666666668,1.092181233823487,39.71875,67.0,146.3289373,0.21868538506771482,17.39551469,10.68669542,25.4515925,10.87883791,2,0.0
1011.0,48.24366666666674,1.0156773600679867,26.959183673469386,149.0,412.71383860000003,0.11872633146059958,8.975943102999999,0.04143779319,22.6421744,5.99962045,2,0.0
1012.0,38.400216666666665,0.31249823677210153,50.166666666666664,85.0,92.8064607,0.12930134291825224,26.14595215,21.62058815,29.81096277,21.62058815,2,0.0
1013.0,70.06638333333319,0.8135142316227271,24.140350877192983,114.0,390.47536510000003,0.1459759183153652,8.835084295,0.0,21.95285698,0.1303319553,2,0.0
